Manufacturer,Name,Speed,Glide,Turn,Fade,Diameter,Height,RimDepth,RimWidth,Purchase Url
Daredevil,Gray Jay,14.0,4.0,-0.1,4.9,21.0,1.4,1.1,2.3,https://infinitediscs.com/Daredevil-Gray-Jay?tag=3c8c6529
Daredevil,Mammoth,9.0,4.0,-1.1,4.6,21.1,1.7,1.2,2.0,https://infinitediscs.com/Daredevil-Mammoth?tag=3c8c6529
Daredevil,Merlin,13.8,4.0,-1.0,4.8,21.0,1.7,1.1,2.3,https://infinitediscs.com/Daredevil-Merlin?tag=3c8c6529
Daredevil,Ogopogo,9.0,4.0,-2.0,4.7,21.1,1.5,1.5,2.0,https://infinitediscs.com/Daredevil-Ogopogo?tag=3c8c6529
Daredevil,Sasquatch,12.0,5.0,-5.0,1.0,21.0,1.7,1.1,2.5,https://infinitediscs.com/Daredevil-Sasquatch?tag=3c8c6529
Daredevil,Yeti,13.0,5.1,-2.8,1.1,21.1,1.6,1.1,2.5,https://infinitediscs.com/Daredevil-Yeti?tag=3c8c6529
Daredevil,Sabertooth,9.0,3.9,-0.2,4.9,21.0,1.8,1.2,2.0,https://infinitediscs.com/Daredevil-Sabertooth?tag=3c8c6529
Daredevil,Swift Fox,7.2,5.0,-3.0,1.0,21.1,1.7,1.2,1.8,https://infinitediscs.com/Daredevil-Swift-Fox?tag=3c8c6529
Daredevil,Timberwolf,8.1,5.1,-1.0,1.0,21.1,1.6,1.2,1.8,https://infinitediscs.com/Daredevil-Timberwolf?tag=3c8c6529
Daredevil,Wolverine,8.1,4.9,-2.0,2.0,21.2,1.8,1.2,1.8,https://infinitediscs.com/Daredevil-Wolverine?tag=3c8c6529
Daredevil,Caribou,4.0,5.0,-2.8,1.0,21.8,2.1,1.3,1.3,https://infinitediscs.com/Daredevil-Caribou?tag=3c8c6529
Daredevil,Grizzly,4.1,4.0,-1.0,2.0,21.9,2.0,1.3,1.3,https://infinitediscs.com/Daredevil-Grizzly?tag=3c8c6529
Daredevil,Moose,4.0,5.0,0.0,2.0,21.8,2.1,1.3,1.3,https://infinitediscs.com/Daredevil-Moose?tag=3c8c6529
Daredevil,Pteranodon,4.0,6.0,-2.0,1.0,21.6,2.3,1.2,1.4,https://infinitediscs.com/Daredevil-Pteranodon?tag=3c8c6529
Daredevil,Walrus,4.0,5.0,0.0,3.0,21.8,1.9,1.2,1.3,https://infinitediscs.com/Daredevil-Walrus?tag=3c8c6529
Daredevil,Beaver,2.0,3.0,0.0,1.0,21.2,2.2,1.6,0.9,https://infinitediscs.com/Daredevil-Beaver?tag=3c8c6529
